Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Button","to press for quick controls",1,2.61,"https://www.digikey.com.au/en/products/detail/adafruit-industries-llc/367/10669771","DIGIKEY"
"4"" Display","To display the statistics",1,12.75,"https://www.aliexpress.com/item/1005005791515997.html?mp=1&pdp_npi=6@dis!AUD!AUD%2020.87!AUD%2018.03!!AUD%2018.03!!!@2101f11417733660858491187edb1b!12000034370064544!ct!AU!6264596141!!1!0!","Aliexpress"
"Microcontroller","Micro controller: to control the crseen",1,5.22,"https://www.digikey.com.au/en/products/detail/seeed-technology-co-ltd/113991054/16652880","DigiKey"
